name,group,year,value
武汉市,武汉市,1月23日,495
孝感市,孝感市,1月23日,22
黄冈市,黄冈市,1月23日,12
荆州市,荆州市,1月23日,8
荆门市,荆门市,1月23日,8
仙桃市,仙桃市,1月23日,2
宜昌市,宜昌市,1月23日,1
十堰市,十堰市,1月23日,1
武汉市,武汉市,1月24日,572
十堰市,十堰市,1月24日,5
宜昌市,宜昌市,1月24日,1
鄂州市,鄂州市,1月24日,1
荆门市,荆门市,1月24日,21
孝感市,孝感市,1月24日,26
荆州市,荆州市,1月24日,10
黄冈市,黄冈市,1月24日,64
随州市,随州市,1月24日,5
恩施州,恩施州,1月24日,11
仙桃市,仙桃市,1月24日,10
天门市,天门市,1月24日,3
武汉市,武汉市,1月25日,618
黄石市,黄石市,1月25日,31
十堰市,十堰市,1月25日,20
襄阳市,襄阳市,1月25日,2
宜昌市,宜昌市,1月25日,20
荆州市,荆州市,1月25日,33
荆门市,荆门市,1月25日,38
鄂州市,鄂州市,1月25日,1
孝感市,孝感市,1月25日,55
黄冈市,黄冈市,1月25日,122
咸宁市,咸宁市,1月25日,43
随州市,随州市,1月25日,36
恩施州,恩施州,1月25日,17
仙桃市,仙桃市,1月25日,11
天门市,天门市,1月25日,5
武汉市,武汉市,1月26日,698
黄石市,黄石市,1月26日,36
十堰市,十堰市,1月26日,40
襄阳市,襄阳市,1月26日,36
宜昌市,宜昌市,1月26日,31
荆州市,荆州市,1月26日,47
荆门市,荆门市,1月26日,90
鄂州市,鄂州市,1月26日,20
孝感市,孝感市,1月26日,100
黄冈市,黄冈市,1月26日,154
咸宁市,咸宁市,1月26日,64
随州市,随州市,1月26日,52
恩施州,恩施州,1月26日,25
仙桃市,仙桃市,1月26日,12
天门市,天门市,1月26日,13
潜江,潜江,1月26日,5
武汉市,武汉市,1月27日,1590
黄石市,黄石市,1月27日,53
十堰市,十堰市,1月27日,65
襄阳市,襄阳市,1月27日,70
宜昌市,宜昌市,1月27日,51
荆州市,荆州市,1月27日,71
荆门市,荆门市,1月27日,114
鄂州市,鄂州市,1月27日,57
孝感市,孝感市,1月27日,173
黄冈市,黄冈市,1月27日,213
咸宁市,咸宁市,1月27日,91
随州市,随州市,1月27日,70
恩施州,恩施州,1月27日,38
仙桃市,仙桃市,1月27日,27
天门市,天门市,1月27日,23
潜江,潜江,1月27日,7
神农架林区,神农架林区,1月27日,1
武汉市,武汉市,1月28日,1905
黄石市,黄石市,1月28日,86
十堰市,十堰市,1月28日,88
襄阳市,襄阳市,1月28日,131
宜昌市,宜昌市,1月28日,63
荆州市,荆州市,1月28日,101
荆门市,荆门市,1月28日,142
鄂州市,鄂州市,1月28日,84
孝感市,孝感市,1月28日,274
黄冈市,黄冈市,1月28日,324
咸宁市,咸宁市,1月28日,112
随州市,随州市,1月28日,116
恩施州,恩施州,1月28日,51
仙桃市,仙桃市,1月28日,32
天门市,天门市,1月28日,34
潜江,潜江,1月28日,8
神农架林区,神农架林区,1月28日,3
武汉市,武汉市,1月29日,2261
黄石市,黄石市,1月29日,113
十堰市,十堰市,1月29日,119
襄阳市,襄阳市,1月29日,163
宜昌市,宜昌市,1月29日,117
荆州市,荆州市,1月29日,151
荆门市,荆门市,1月29日,191
鄂州市,鄂州市,1月29日,123
孝感市,孝感市,1月29日,399
黄冈市,黄冈市,1月29日,496
咸宁市,咸宁市,1月29日,130
随州市,随州市,1月29日,143
恩施州,恩施州,1月29日,66
仙桃市,仙桃市,1月29日,55
天门市,天门市,1月29日,44
潜江市,潜江市,1月29日,10
神农架林区,神农架林区,1月29日,5
武汉市,武汉市,1月30日,2639
黄石市,黄石市,1月30日,168
十堰市,十堰市,1月30日,150
襄阳市,襄阳市,1月30日,286
宜昌市,宜昌市,1月30日,167
荆州市,荆州市,1月30日,221
荆门市,荆门市,1月30日,227
鄂州市,鄂州市,1月30日,189
孝感市,孝感市,1月30日,541
黄冈市,黄冈市,1月30日,573
咸宁市,咸宁市,1月30日,166
随州市,随州市,1月30日,228
恩施州,恩施州,1月30日,75
仙桃市,仙桃市,1月30日,90
天门市,天门市,1月30日,67
潜江市,潜江市,1月30日,12
神农架林区,神农架林区,1月30日,7
武汉市,武汉市,1月31日,3215
黄石市,黄石市,1月31日,209
十堰市,十堰市,1月31日,177
襄阳市,襄阳市,1月31日,347
宜昌市,宜昌市,1月31日,276
荆州市,荆州市,1月31日,287
荆门市,荆门市,1月31日,251
鄂州市,鄂州市,1月31日,227
孝感市,孝感市,1月31日,628
黄冈市,黄冈市,1月31日,726
咸宁市,咸宁市,1月31日,206
随州市,随州市,1月31日,304
恩施州,恩施州,1月31日,87
仙桃市,仙桃市,1月31日,97
天门市,天门市,1月31日,82
潜江市,潜江市,1月31日,27
神农架林区,神农架林区,1月31日,7
武汉市,武汉市,2月1日,4109
黄石市,黄石市,2月1日,252
十堰市,十堰市,2月1日,212
襄阳市,襄阳市,2月1日,441
宜昌市,宜昌市,2月1日,353
荆州市,荆州市,2月1日,333
荆门市,荆门市,2月1日,329
鄂州市,鄂州市,2月1日,278
孝感市,孝感市,2月1日,749
黄冈市,黄冈市,2月1日,1002
咸宁市,咸宁市,2月1日,246
随州市,随州市,2月1日,384
恩施州,恩施州,2月1日,105
仙桃市,仙桃市,2月1日,140
天门市,天门市,2月1日,99
潜江市,潜江市,2月1日,35
神农架林区,神农架林区,2月1日,7
